sequence, time, avgAX, minAX, maxAX, avgAY, minAY, maxAY, avgAZ, minAZ, maxAZ, avgGX, minGX, maxGX, avgGY, minGY, maxGY, avgGZ, minGZ, maxGZ, avgCX, minCX, maxCX, avgCY, minCY, maxCY, avgCZ , minCZ, maxCZ
231, 2017-11-9 14:39:33, -0.47, -0.49, -0.44, -0.13, -0.14, -0.12, -0.47, -0.07, -0.00, -0.18, -0.42, 0.14, 0.48, 0.33, 0.66, 0.09, -0.24, 0.37, 82.14, 0.76, 359.84, -237.48, -246.80, -229.32, 221.91, 215.68, 231.32
232, 2017-11-9 14:39:40, -0.46, -0.48, -0.43, -0.14, -0.17, -0.12, -0.46, -0.08, -0.02, -0.18, -0.45, 0.18, 0.52, 0.37, 0.69, 0.07, -0.18, 0.35, 277.61, 0.76, 358.92, -241.18, -253.24, -231.16, 226.82, 217.52, 243.28
233, 2017-11-9 14:39:47, -0.45, -0.59, -0.28, -0.14, -0.21, -0.08, -0.45, -0.24, 0.05, -0.16, -1.65, 1.29, 0.54, -0.15, 1.13, 0.12, -1.66, 1.80, 242.66, 0.76, 359.84, -250.98, -269.80, -241.28, 232.75, 218.44, 255.24
234, 2017-11-9 14:39:54, -0.45, -0.51, -0.38, -0.16, -0.20, -0.08, -0.45, -0.11, 0.01, -0.14, -0.97, 0.69, 0.62, 0.22, 0.99, 0.18, -0.53, 1.01, 229.64, 0.76, 359.84, -252.13, -266.12, -241.28, 221.10, 190.84, 236.84
235, 2017-11-9 14:40:1, -0.46, -0.49, -0.41, -0.14, -0.17, -0.10, -0.46, -0.07, 0.01, -0.24, -0.81, 0.14, 0.56, 0.22, 1.16, 0.07, -0.41, 0.75, 333.71, 324.88, 348.80, -257.43, -271.64, -249.56, 214.93, 202.80, 225.80
236, 2017-11-9 14:40:8, -0.45, -0.50, -0.39, -0.13, -0.16, -0.09, -0.45, -0.15, -0.00, -0.08, -0.86, 0.67, 0.52, -0.10, 0.96, 0.09, -0.74, 0.96, 337.92, 326.72, 348.80, -253.44, -261.52, -240.36, 229.40, 219.36, 240.52
237, 2017-11-9 14:40:15, -0.44, -0.50, -0.37, -0.15, -0.23, -0.12, -0.44, -0.12, 0.00, -0.24, -1.24, 0.57, 0.61, 0.06, 1.26, 0.03, -1.76, 1.20, 343.90, 331.32, 351.56, -253.08, -262.44, -244.04, 235.24, 225.80, 245.12
238, 2017-11-9 14:40:22, -0.45, -0.49, -0.41, -0.16, -0.19, -0.11, -0.45, -0.14, -0.03, -0.19, -0.65, 0.53, 0.54, 0.23, 0.86, 0.02, -0.62, 0.50, 339.66, 332.24, 346.96, -242.33, -249.56, -237.60, 233.28, 228.56, 243.28
239, 2017-11-9 14:40:29, -0.46, -0.56, -0.39, -0.15, -0.20, -0.09, -0.46, -0.12, 0.05, -0.26, -0.83, 0.49, 0.60, 0.26, 0.99, 0.11, -0.91, 0.95, 326.14, 319.36, 335.00, -260.13, -269.80, -249.56, 227.27, 218.44, 238.68
240, 2017-11-9 14:40:36, -0.46, -0.50, -0.39, -0.11, -0.16, -0.07, -0.46, -0.11, 0.01, -0.26, -1.19, 0.30, 0.25, -0.05, 0.57, 0.01, -0.74, 0.71, 322.57, 312.00, 335.00, -227.51, -246.80, -212.76, 217.12, 208.32, 228.56
241, 2017-11-9 14:40:43, -0.44, -0.48, -0.41, -0.17, -0.20, -0.14, -0.44, -0.12, -0.04, -0.24, -0.81, 0.25, 0.48, 0.23, 0.69, 0.07, -0.22, 0.53, 294.19, 277.96, 300.04, -195.97, -204.48, -190.68, 227.78, 216.60, 242.36
242, 2017-11-9 14:40:50, -0.46, -0.54, -0.36, -0.15, -0.24, -0.07, -0.46, -0.11, 0.04, 0.21, -1.36, 2.34, 1.26, 0.12, 2.42, 0.30, -1.13, 3.26, 281.43, 235.64, 318.44, -29.36, -67.12, -12.84, 243.28, 1.04, 359.20
243, 2017-11-9 14:40:57, -0.46, -0.58, -0.36, -0.13, -0.21, -0.10, -0.46, -0.21, 0.04, -0.19, -2.38, 1.46, 0.52, 0.13, 1.21, 0.13, -0.98, 1.70, 318.64, 301.88, 337.76, -13.35, -22.96, -0.88, 26.97, 5.64, 45.20
244, 2017-11-9 14:41:4, -0.44, -0.49, -0.40, -0.17, -0.21, -0.14, -0.44, -0.15, -0.04, -0.21, -1.05, 0.66, 0.60, 0.29, 1.15, 0.00, -0.77, 0.76, 322.22, 310.16, 352.48, -298.91, -359.04, -0.88, 43.12, 30.48, 59.00
245, 2017-11-9 14:41:11, -0.46, -0.48, -0.44, -0.13, -0.15, -0.12, -0.46, -0.05, -0.02, -0.14, -0.41, 0.03, 0.52, 0.41, 0.70, 0.02, -0.20, 0.22, 330.63, 326.72, 335.00, -6.12, -14.68, -1.80, 47.72, 39.68, 54.40
246, 2017-11-9 14:41:18, -0.45, -0.48, -0.43, -0.15, -0.18, -0.13, -0.45, -0.08, -0.02, -0.18, -0.68, 0.56, 0.53, 0.30, 0.87, 0.06, -0.33, 0.92, 340.83, 332.24, 346.04, -195.62, -359.96, -0.88, 48.52, 41.52, 60.84
247, 2017-11-9 14:41:25, -0.47, -0.56, -0.35, -0.13, -0.19, -0.07, -0.47, -0.11, 0.07, -0.18, -2.36, 1.38, 0.56, 0.14, 0.98, 0.02, -1.28, 1.54, 312.37, 299.12, 335.92, -222.11, -357.20, -1.80, 26.52, 2.88, 47.96
248, 2017-11-9 14:41:32, -0.46, -0.49, -0.43, -0.14, -0.18, -0.11, -0.46, -0.09, -0.02, -0.20, -0.66, 0.16, 0.53, 0.30, 0.68, 0.00, -0.29, 0.32, 295.51, 282.56, 303.72, -335.37, -359.04, -4.56, 52.23, 45.20, 59.92
249, 2017-11-9 14:41:39, -0.44, -0.50, -0.37, -0.17, -0.21, -0.13, -0.44, -0.15, 0.02, -0.40, -1.69, 1.40, 0.65, 0.28, 1.20, 0.10, -0.74, 1.12, 289.51, 277.04, 303.72, -326.13, -335.12, -311.20, 37.07, 19.44, 46.12
250, 2017-11-9 14:41:47, -0.48, -0.51, -0.44, -0.10, -0.14, -0.04, -0.48, -0.03, 0.07, -0.20, -0.90, 0.32, 0.44, 0.05, 0.64, 0.04, -0.61, 0.74, 285.28, 276.12, 294.52, -340.20, -353.52, -331.44, 31.65, 20.36, 38.76
251, 2017-11-9 14:41:54, -0.46, -0.55, -0.37, -0.13, -0.20, -0.07, -0.46, -0.10, 0.11, -0.17, -2.20, 1.43, 0.58, -0.15, 1.25, 0.18, -1.05, 1.91, 278.14, 265.08, 299.12, -221.14, -235.76, -199.88, 199.17, 187.16, 210.16
252, 2017-11-9 14:42:1, -0.45, -0.50, -0.40, -0.15, -0.19, -0.11, -0.45, -0.12, -0.05, -0.11, -0.86, 0.41, 0.51, 0.13, 0.85, 0.16, -0.58, 0.94, 249.40, 243.00, 254.96, -212.90, -220.12, -204.48, 229.21, 221.20, 238.68
253, 2017-11-9 14:42:8, -0.46, -0.53, -0.38, -0.11, -0.14, -0.05, -0.46, -0.14, 0.00, -0.08, -1.15, 0.99, 0.50, -0.07, 1.09, 0.12, -0.78, 1.35, 247.69, 237.48, 265.08, -181.11, -187.92, -171.36, 208.90, 197.28, 215.68
254, 2017-11-9 14:42:15, -0.47, -0.51, -0.43, -0.08, -0.11, -0.05, -0.47, -0.08, 0.04, -0.09, -0.91, 0.55, 0.48, 0.31, 0.83, 0.10, -0.60, 0.79, 237.34, 232.88, 243.92, -212.35, -221.96, -201.72, 218.26, 207.40, 242.36
255, 2017-11-9 14:42:22, -0.47, -0.51, -0.44, -0.12, -0.14, -0.09, -0.47, -0.05, 0.03, -0.23, -0.83, 0.48, 0.52, 0.29, 0.94, 0.06, -0.51, 0.60, 233.73, 223.68, 243.00, -203.05, -213.68, -187.00, 198.55, 185.32, 210.16
256, 2017-11-9 14:42:29, -0.45, -0.53, -0.37, -0.17, -0.24, -0.10, -0.45, -0.18, 0.05, -0.13, -0.99, 2.55, 0.36, -1.65, 1.51, 0.01, -2.75, 2.03, 211.99, 206.20, 231.04, -205.78, -218.28, -179.64, 216.52, 203.72, 228.56
257, 2017-11-9 14:42:36, -0.44, -0.49, -0.41, -0.13, -0.18, -0.07, -0.44, -0.14, -0.03, -0.17, -2.01, 0.72, 0.47, -0.22, 0.86, -0.06, -0.88, 0.75, 241.27, 204.36, 253.12, -186.91, -202.64, -172.28, 218.66, 208.32, 224.88
258, 2017-11-9 14:42:43, -0.46, -0.50, -0.42, -0.10, -0.16, -0.04, -0.46, -0.13, -0.01, -0.39, -1.35, 0.67, -0.17, -0.81, 0.90, -0.09, -1.26, 0.60, 234.78, 218.16, 252.20, -205.52, -228.40, -162.16, 228.48, 218.44, 242.36
259, 2017-11-9 14:42:50, -0.45, -0.51, -0.37, -0.15, -0.27, -0.05, -0.45, -0.11, 0.07, -0.22, -1.43, 0.92, 0.65, 0.12, 1.19, 0.04, -1.55, 1.88, 117.00, 96.72, 129.84, -47.91, -72.92, -34.28, 169.14, 0.12, 359.20
260, 2017-11-9 14:42:57, -0.45, -0.50, -0.38, -0.15, -0.19, -0.11, -0.45, -0.13, 0.00, -0.21, -1.19, 0.54, 0.50, 0.13, 0.76, 0.02, -0.76, 0.70, 81.37, 71.88, 94.88, -31.53, -44.40, -19.56, 337.95, 3.80, 359.20
261, 2017-11-9 14:43:4, -0.44, -0.45, -0.41, -0.16, -0.18, -0.14, -0.44, -0.11, -0.05, -0.17, -0.61, 0.21, 0.52, 0.28, 0.69, 0.10, -0.17, 0.51, 97.17, 78.32, 105.00, -23.12, -28.76, -14.96, 339.78, 327.92, 346.32
262, 2017-11-9 14:43:11, -0.46, -0.47, -0.45, -0.12, -0.12, -0.11, -0.46, -0.07, -0.03, -0.15, -0.31, -0.00, 0.52, 0.42, 0.59, 0.06, -0.11, 0.20, 94.26, 91.20, 97.64, -22.28, -26.00, -8.52, 343.17, 338.04, 350.00
263, 2017-11-9 14:43:18, -0.46, -0.48, -0.43, -0.12, -0.16, -0.11, -0.46, -0.12, 0.00, -0.30, -1.76, 0.26, 0.50, 0.02, 0.89, -0.03, -0.36, 0.30, 95.48, 91.20, 101.32, -23.05, -46.24, -13.12, 341.69, 338.04, 345.40
264, 2017-11-9 14:43:25, -0.46, -0.47, -0.45, -0.12, -0.13, -0.11, -0.46, -0.09, -0.05, -0.10, -0.28, 0.07, 0.53, 0.46, 0.66, 0.10, -0.02, 0.23, 93.68, 91.20, 96.72, -20.66, -25.08, -17.72, 341.38, 338.04, 352.76
265, 2017-11-9 14:43:32, -0.46, -0.47, -0.45, -0.10, -0.11, -0.09, -0.46, -0.09, -0.07, -0.17, -0.23, -0.10, 0.53, 0.48, 0.57, 0.08, -0.02, 0.15, 90.54, 86.60, 94.88, -16.42, -22.32, -3.00, 345.77, 340.80, 354.60
266, 2017-11-9 14:43:39, -0.48, -0.50, -0.46, -0.07, -0.10, -0.05, -0.48, -0.04, 0.01, -0.19, -0.45, 0.02, 0.59, 0.42, 0.75, 0.05, -0.25, 0.34, 92.21, 81.08, 96.72, -24.30, -30.60, -18.64, 339.35, 333.44, 349.08
267, 2017-11-9 14:43:46, -0.45, -0.53, -0.37, -0.12, -0.20, -0.06, -0.45, -0.19, -0.02, -0.17, -1.58, 1.07, 0.54, -0.05, 1.18, 0.10, -1.04, 1.29, 87.12, 76.48, 101.32, -30.23, -46.24, -15.88, 42.92, 1.04, 359.20
268, 2017-11-9 14:43:53, -0.46, -0.48, -0.43, -0.15, -0.20, -0.12, -0.46, -0.05, -0.01, -0.16, -1.36, 0.36, 0.57, 0.20, 0.93, 0.16, -1.03, 0.83, 74.27, 70.96, 79.24, -48.10, -51.76, -40.72, 29.61, 0.12, 359.20
269, 2017-11-9 14:44:1, -0.46, -0.47, -0.44, -0.12, -0.15, -0.09, -0.46, -0.09, -0.02, -0.17, -0.72, 0.19, 0.49, 0.22, 0.66, 0.06, -0.68, 0.64, 45.56, 41.52, 48.88, -334.29, -340.00, -329.88, 7.47, 0.12, 14.84
270, 2017-11-9 14:44:8, -0.46, -0.47, -0.44, -0.13, -0.14, -0.12, -0.46, -0.07, -0.04, -0.18, -0.45, 0.11, 0.53, 0.45, 0.68, 0.07, -0.04, 0.24, 49.80, 47.04, 52.56, -331.09, -337.24, -326.20, 4.79, 0.12, 13.92
271, 2017-11-9 14:44:15, -0.46, -0.47, -0.44, -0.12, -0.14, -0.10, -0.46, -0.10, -0.04, -0.16, -0.48, 0.71, 0.53, 0.38, 0.66, 0.08, -0.21, 0.45, 46.79, 35.08, 63.60, -333.33, -339.08, -328.96, 12.22, 9.32, 24.04
272, 2017-11-9 14:44:22, -0.46, -0.47, -0.44, -0.13, -0.14, -0.11, -0.46, -0.08, -0.04, -0.14, -0.33, 0.04, 0.53, 0.37, 0.68, 0.08, -0.16, 0.34, 42.61, 36.92, 47.04, -333.60, -340.00, -328.96, 12.12, 7.48, 21.28
273, 2017-11-9 14:44:29, -0.48, -0.49, -0.46, -0.10, -0.12, -0.07, -0.48, -0.03, 0.02, -0.19, -0.57, 0.09, 0.36, 0.21, 0.68, 0.05, -0.13, 0.22, 47.83, 41.52, 54.40, -31.42, -357.48, -0.24, 26.28, 13.00, 37.84
274, 2017-11-9 14:44:36, -0.46, -0.53, -0.36, -0.12, -0.19, -0.07, -0.46, -0.15, 0.00, -0.18, -0.91, 0.64, 0.47, 0.16, 0.79, 0.00, -0.99, 0.75, 42.00, 36.00, 47.04, -25.49, -35.20, -14.96, 18.82, 8.40, 31.40
275, 2017-11-9 14:44:43, -0.45, -0.48, -0.44, -0.15, -0.17, -0.12, -0.45, -0.11, -0.02, -0.15, -0.61, 0.47, 0.53, 0.33, 0.68, 0.07, -0.29, 0.37, 55.59, 48.88, 61.76, -217.28, -359.32, -0.24, 43.35, 38.76, 56.24
276, 2017-11-9 14:44:50, -0.48, -0.51, -0.43, -0.12, -0.18, -0.05, -0.48, -0.02, 0.08, -0.79, -1.47, -0.05, -0.50, -1.38, 0.54, -0.08, -1.40, 0.88, 104.52, 78.32, 140.88, -170.30, -356.56, -0.24, 107.20, 53.48, 162.04
277, 2017-11-9 14:44:57, -0.45, -0.51, -0.38, -0.17, -0.25, -0.11, -0.45, 0.00, 0.19, -0.17, -2.07, 1.25, 0.63, -1.34, 2.14, 0.14, -1.63, 1.68, 179.12, 151.92, 220.00, -135.12, -174.12, -116.16, 208.94, 174.92, 228.28
278, 2017-11-9 14:45:4, -0.46, -0.52, -0.41, -0.15, -0.19, -0.12, -0.46, -0.02, 0.08, -0.15, -0.62, 0.35, 0.50, 0.22, 0.73, 0.02, -0.29, 0.43, 126.10, 116.96, 139.04, -112.90, -121.68, -102.36, 207.29, 195.16, 220.92
279, 2017-11-9 14:45:11, -0.47, -0.50, -0.43, -0.13, -0.15, -0.09, -0.47, -0.01, 0.08, -0.19, -0.83, 0.75, 0.56, 0.31, 0.83, 0.11, -0.41, 0.59, 95.51, 82.92, 102.24, -121.26, -127.20, -113.40, 195.54, 188.72, 204.36
280, 2017-11-9 14:45:18, -0.46, -0.50, -0.43, -0.14, -0.17, -0.12, -0.46, -0.08, 0.01, -0.24, -0.82, 0.29, 0.48, 0.25, 0.66, 0.02, -0.39, 0.34, 99.71, 88.44, 115.12, -108.29, -121.68, -101.44, 200.22, 191.48, 209.88
281, 2017-11-9 14:45:25, -0.46, -0.49, -0.42, -0.15, -0.18, -0.12, -0.46, -0.07, 0.02, -0.14, -0.71, 0.30, 0.50, 0.31, 0.68, 0.08, -0.32, 0.45, 110.43, 93.04, 116.96, -111.42, -118.92, -106.04, 201.73, 194.24, 213.56
282, 2017-11-9 14:45:32, -0.47, -0.48, -0.46, -0.12, -0.12, -0.11, -0.47, 0.01, 0.04, -0.17, -0.56, -0.02, 0.54, 0.48, 0.72, 0.06, -0.20, 0.14, 116.41, 110.52, 120.64, -118.71, -122.60, -114.32, 195.38, 191.48, 204.36
283, 2017-11-9 14:45:39, -0.47, -0.49, -0.45, -0.12, -0.13, -0.08, -0.47, -0.02, 0.04, -0.16, -0.75, 0.37, 0.52, 0.29, 0.72, 0.06, -0.16, 0.36, 108.95, 105.00, 113.28, -117.30, -122.60, -111.56, 194.88, 191.48, 202.52
284, 2017-11-9 14:45:46, -0.47, -0.48, -0.46, -0.12, -0.12, -0.11, -0.47, -0.00, 0.01, -0.18, -0.36, -0.10, 0.53, 0.45, 0.60, 0.07, 0.00, 0.11, 101.72, 87.52, 106.84, -117.14, -119.84, -113.40, 194.72, 190.56, 206.20
285, 2017-11-9 14:45:53, -0.47, -0.48, -0.46, -0.12, -0.12, -0.11, -0.47, -0.01, 0.02, -0.15, -0.31, 0.17, 0.53, 0.40, 0.57, 0.08, 0.03, 0.18, 103.08, 89.36, 108.68, -116.77, -120.76, -112.48, 194.46, 190.56, 202.52
286, 2017-11-9 14:46:0, -0.47, -0.48, -0.46, -0.11, -0.12, -0.10, -0.47, -0.02, 0.01, -0.16, -0.34, -0.04, 0.53, 0.44, 0.64, 0.07, -0.09, 0.22, 87.28, 72.80, 90.28, -112.36, -129.96, -96.84, 194.87, 189.64, 203.44
287, 2017-11-9 14:46:7, -0.47, -0.48, -0.46, -0.11, -0.12, -0.09, -0.47, -0.03, 0.01, -0.17, -0.28, -0.01, 0.53, 0.40, 0.65, 0.07, -0.02, 0.18, 84.61, 80.16, 87.52, -114.48, -118.92, -109.72, 192.76, 186.88, 200.68
288, 2017-11-9 14:46:14, -0.47, -0.49, -0.46, -0.10, -0.12, -0.05, -0.47, -0.05, 0.02, -0.15, -0.40, 0.36, 0.52, 0.33, 0.64, 0.10, -0.27, 0.67, 53.63, 48.88, 58.08, -93.73, -109.72, -85.80, 213.94, 203.44, 222.76
289, 2017-11-9 14:46:21, -0.47, -0.53, -0.41, -0.10, -0.15, -0.05, -0.47, -0.06, 0.05, -0.16, -0.86, 0.61, 0.74, 0.50, 1.09, 0.17, -0.67, 1.01, 27.20, 15.76, 37.84, -57.40, -76.60, -34.28, 192.49, 182.28, 201.60
290, 2017-11-9 14:46:28, -0.44, -0.46, -0.41, -0.15, -0.19, -0.13, -0.44, -0.16, -0.07, -0.18, -0.55, 0.25, 0.53, -0.13, 0.96, 0.06, -0.38, 0.73, 36.05, 23.12, 46.12, -27.02, -42.56, -17.72, 192.41, 185.04, 198.84
291, 2017-11-9 14:46:35, -0.46, -0.47, -0.45, -0.13, -0.13, -0.12, -0.46, -0.07, -0.04, -0.16, -0.21, -0.13, 0.53, 0.51, 0.54, 0.08, 0.04, 0.13, 45.63, 41.52, 54.40, -31.42, -35.20, -28.76, 172.90, 167.56, 183.20
292, 2017-11-9 14:46:43, -0.47, -0.48, -0.45, -0.10, -0.12, -0.07, -0.47, -0.06, -0.01, -0.17, -0.45, 0.02, 0.52, 0.40, 0.67, 0.12, 0.02, 0.36, 37.27, 29.56, 41.52, -34.89, -48.08, -28.76, 171.88, 164.80, 183.20
293, 2017-11-9 14:46:50, -0.48, -0.50, -0.44, -0.09, -0.12, -0.07, -0.48, -0.07, 0.00, -0.26, -0.66, 0.21, 0.56, 0.45, 0.69, 0.01, -0.37, 0.39, 20.40, 0.12, 356.44, -38.11, -45.32, -26.00, 173.05, 165.72, 182.28
294, 2017-11-9 14:46:57, -0.46, -0.52, -0.37, -0.10, -0.16, -0.06, -0.46, -0.19, 0.05, -0.14, -0.83, 0.63, 0.49, 0.22, 0.92, 0.07, -1.09, 1.10, 53.51, 0.12, 359.20, -24.62, -44.40, -9.44, 172.52, 155.60, 182.28
295, 2017-11-9 14:47:4, -0.46, -0.48, -0.43, -0.13, -0.16, -0.09, -0.46, -0.09, -0.04, -0.15, -0.46, 0.25, 0.53, 0.32, 0.68, 0.04, -0.21, 0.53, 29.64, 1.04, 353.68, -33.46, -358.40, -9.44, 180.85, 173.08, 191.48
296, 2017-11-9 14:47:11, -0.43, -0.45, -0.42, -0.17, -0.19, -0.15, -0.43, -0.13, -0.08, -0.14, -0.31, 0.02, 0.51, 0.45, 0.55, 0.07, -0.10, 0.19, 29.31, 11.16, 358.28, -13.84, -21.40, -4.84, 182.94, 168.48, 195.16
297, 2017-11-9 14:47:18, -0.46, -0.48, -0.45, -0.13, -0.14, -0.11, -0.46, -0.05, -0.01, -0.21, -0.36, -0.11, 0.53, 0.48, 0.57, 0.08, 0.01, 0.15, 20.99, 14.84, 27.72, -125.19, -359.32, -1.16, 172.39, 166.64, 183.20
298, 2017-11-9 14:47:25, -0.47, -0.50, -0.45, -0.13, -0.14, -0.09, -0.47, -0.04, 0.01, -0.16, -0.34, 0.20, 0.56, 0.49, 0.64, -0.05, -0.75, 0.38, 318.55, 309.52, 326.08, -35.98, -43.48, -28.76, 196.66, 192.40, 205.28
299, 2017-11-9 14:47:32, -0.45, -0.48, -0.42, -0.15, -0.18, -0.12, -0.45, -0.07, -0.01, -0.19, -0.50, 0.10, 0.54, 0.45, 0.62, 0.06, -0.27, 0.25, 308.04, 301.24, 315.96, -25.49, -33.36, -19.56, 201.90, 197.00, 208.04
300, 2017-11-9 14:47:39, -0.43, -0.90, -0.31, -0.20, -0.34, -0.11, -0.43, -0.42, 0.16, -0.01, -2.54, 4.90, 0.73, -2.17, 3.12, 0.18, -2.72, 3.11, 185.80, 2.88, 355.52, -161.58, -356.56, -8.52, 168.74, 111.44, 228.28
301, 2017-11-9 14:47:46, -0.41, -0.47, -0.30, -0.23, -0.30, -0.16, -0.41, -0.12, -0.03, -0.22, -1.51, 1.03, 0.56, 0.16, 1.02, 0.07, -0.59, 0.60, 346.80, 325.16, 357.36, -90.20, -96.84, -82.12, 144.45, 135.36, 153.76
302, 2017-11-9 14:47:53, -0.45, -0.46, -0.43, -0.16, -0.19, -0.14, -0.45, -0.10, -0.01, -0.16, -0.73, 1.48, 0.54, 0.37, 0.80, 0.10, -0.22, 0.80, 342.00, 337.12, 348.16, -77.37, -82.12, -72.00, 119.56, 116.04, 127.08
303, 2017-11-9 14:48:0, -0.45, -0.46, -0.44, -0.17, -0.18, -0.15, -0.45, -0.05, 0.00, -0.21, -0.87, 0.25, 0.54, 0.33, 0.68, 0.08, -0.15, 0.35, 346.86, 342.64, 352.76, -79.54, -84.88, -73.84, 122.13, 116.96, 131.68
304, 2017-11-9 14:48:7, -0.47, -0.49, -0.44, -0.13, -0.15, -0.11, -0.47, -0.05, 0.04, -0.18, -0.56, 0.44, 0.50, 0.20, 0.76, 0.07, -0.25, 0.37, 346.84, 338.96, 357.36, -115.33, -120.76, -108.80, 135.10, 128.00, 148.24
305, 2017-11-9 14:48:14, -0.45, -0.53, -0.30, -0.15, -0.18, -0.12, -0.45, -0.07, 0.07, -0.05, -1.01, 0.75, 0.43, -0.10, 0.88, 0.11, -0.39, 0.63, 339.74, 330.68, 348.16, -93.56, -102.36, -84.88, 147.07, 139.04, 161.12
306, 2017-11-9 14:48:21, -0.43, -0.47, -0.41, -0.20, -0.25, -0.16, -0.43, -0.07, 0.01, -0.22, -0.72, 0.15, 0.53, 0.37, 0.63, 0.13, -0.11, 0.36, 343.61, 0.12, 358.28, -90.43, -101.44, -83.96, 151.88, 143.64, 160.20
307, 2017-11-9 14:48:28, -0.45, -0.48, -0.42, -0.17, -0.20, -0.14, -0.45, -0.07, 0.00, -0.12, -0.61, 0.20, 0.55, 0.21, 0.81, 0.09, -0.38, 0.60, 343.48, 336.20, 352.76, -85.60, -97.76, -76.60, 149.63, 140.88, 158.36
308, 2017-11-9 14:48:35, -0.45, -0.48, -0.44, -0.16, -0.19, -0.13, -0.45, -0.05, 0.04, -0.20, -1.33, 0.53, 0.56, 0.01, 1.37, 0.03, -0.51, 0.51, 348.78, 336.20, 358.28, -50.96, -59.12, -45.32, 129.92, 123.40, 136.28
309, 2017-11-9 14:48:42, -0.45, -0.46, -0.45, -0.16, -0.17, -0.15, -0.45, -0.03, -0.00, -0.15, -0.23, -0.05, 0.53, 0.44, 0.59, 0.07, 0.01, 0.13, 344.22, 340.80, 348.16, -40.48, -44.40, -32.44, 134.88, 129.84, 140.88
310, 2017-11-9 14:48:49, -0.46, -0.47, -0.44, -0.15, -0.17, -0.13, -0.46, -0.03, 0.01, -0.16, -0.34, -0.03, 0.51, 0.46, 0.59, 0.09, 0.02, 0.20, 346.51, 343.56, 350.00, -42.72, -47.16, -35.20, 135.02, 129.84, 141.80
311, 2017-11-9 14:48:56, -0.47, -0.55, -0.39, -0.13, -0.20, -0.09, -0.47, -0.01, 0.08, -0.16, -1.84, 0.79, 0.59, 0.22, 1.10, 0.03, -1.01, 0.63, 187.52, 0.12, 359.20, -80.77, -87.64, -71.08, 154.07, 150.08, 166.64
312, 2017-11-9 14:49:3, -0.46, -0.53, -0.39, -0.15, -0.18, -0.11, -0.46, -0.06, 0.02, -0.14, -0.90, 0.31, 0.52, 0.09, 0.78, 0.11, -0.40, 0.62, 341.74, 334.36, 353.68, -70.21, -78.44, -64.64, 154.71, 149.16, 164.80
313, 2017-11-9 14:49:10, -0.45, -0.54, -0.34, -0.16, -0.24, -0.11, -0.45, -0.09, 0.04, -0.22, -1.58, 0.66, 0.57, 0.30, 1.00, 0.04, -0.90, 0.60, 337.02, 328.84, 352.76, -66.20, -76.60, -54.52, 153.60, 146.40, 171.24
314, 2017-11-9 14:49:17, -0.44, -0.46, -0.42, -0.18, -0.20, -0.17, -0.44, -0.08, -0.04, -0.23, -0.53, 0.13, 0.57, 0.41, 0.74, 0.05, -0.09, 0.15, 343.71, 329.76, 354.60, -63.22, -72.92, -54.52, 155.73, 151.00, 167.56
315, 2017-11-9 14:49:25, -0.47, -0.55, -0.41, -0.11, -0.18, -0.08, -0.47, -0.02, 0.06, -0.15, -1.05, 0.34, 0.54, 0.34, 0.73, 0.05, -0.46, 0.33, 342.90, 333.44, 349.08, -72.81, -82.12, -59.12, 145.03, 139.04, 151.00
316, 2017-11-9 14:49:32, -0.44, -0.48, -0.39, -0.18, -0.23, -0.14, -0.44, -0.09, 0.03, -0.03, -0.67, 0.62, 0.53, 0.23, 0.88, 0.11, -0.31, 0.72, 341.39, 327.00, 347.24, -51.38, -59.12, -43.48, 147.60, 139.96, 153.76
317, 2017-11-9 14:49:39, -0.45, -0.58, -0.35, -0.16, -0.20, -0.11, -0.45, -0.18, 0.06, -0.03, -2.66, 1.71, 0.45, -0.18, 1.23, 0.16, -0.44, 1.39, 340.30, 308.60, 351.84, -93.88, -355.64, -2.08, 135.08, 114.20, 151.00
318, 2017-11-9 14:49:46, -0.46, -0.49, -0.43, -0.14, -0.16, -0.10, -0.46, -0.09, -0.00, -0.20, -0.53, 0.00, 0.50, 0.30, 0.83, 0.06, -0.10, 0.25, 309.44, 294.80, 315.96, -295.42, -359.32, -1.16, 115.00, 109.60, 119.72
319, 2017-11-9 14:49:53, -0.47, -0.54, -0.37, -0.13, -0.20, -0.07, -0.47, -0.15, 0.00, -0.15, -0.72, 0.31, 0.55, 0.34, 0.95, 0.16, -0.37, 1.64, 317.41, 311.36, 327.00, -30.51, -43.48, -16.80, 128.69, 115.12, 151.92
320, 2017-11-9 14:50:0, -0.45, -0.48, -0.43, -0.13, -0.16, -0.12, -0.45, -0.12, -0.05, -0.17, -1.16, 0.31, 0.50, 0.25, 0.75, 0.11, -0.21, 0.39, 301.25, 286.52, 316.88, -30.82, -41.64, -20.48, 126.81, 118.80, 134.44
321, 2017-11-9 14:50:7, -0.45, -0.61, -0.26, -0.14, -0.25, -0.05, -0.45, -0.23, 0.05, -0.14, -2.28, 2.19, 0.56, -0.31, 1.38, 0.14, -1.09, 1.93, 330.04, 321.48, 348.16, -28.51, -35.20, -14.96, 137.89, 130.76, 144.56
